country,airport_name,latitude,longitude
AE,Zayed International Airport,24.443764,54.651718
AF,Herat - Khwaja Abdullah Ansari International Airport,34.209999,62.228298
AG,V C Bird International Airport,17.1367,-61.792702
AI,Clayton J Lloyd International Airport,18.204773,-63.05383
AL,Tirana International Airport Mother Teresa,41.4147,19.7206
AM,Zvartnots International Airport,40.1473007202,44.3959007263
AO,Quatro de Fevereiro International Airport,-8.85837,13.2312
AQ,Boulder Clay Runway,-74.739373,164.03539
AR,Jorge Newbery Airpark,-34.5592,-58.4156
AS,Pago Pago International Airport,-14.331,-170.710007
AT,Vienna International Airport,48.110298,16.5697
AU,Brisbane International Airport,-27.38419914245605,153.11700439453125
AW,Queen Beatrix International Airport,12.5014,-70.015198
AZ,Heydar Aliyev International Airport,40.46749877929688,50.04669952392578
BA,Sarajevo International Airport,43.8246,18.331499
BB,Grantley Adams International Airport,13.0746,-59.4925
BD,Hazrat Shahjalal International Airport,23.843347,90.397783
BE,Brussels Airport,50.901402,4.48444
BF,Ouagadougou Airport,12.3532,-1.51242
BG,Burgas Airport,42.569917,27.515173
BH,Bahrain International Airport,26.267295,50.63764
BI,Bujumbura Melchior Ndadaye International Airport,-3.32402,29.318501
BJ,Cadjehoun Airport,6.357230186462402,2.384350061416626
BL,Saint Barthelemy - Gustaf III Airport,17.9044,-62.843601
BM,L.F. Wade International Airport,32.363998,-64.678703
BN,Brunei International Airport,4.9442,114.928001
BO,Viru Viru International Airport,-17.6448,-63.135399
BQ,Flamingo International Airport,12.131,-68.268501
BR,Val de Cans/Julio Cezar Ribeiro International Airport,-1.379279,-48.476207
BS,Lynden Pindling International Airport,25.039,-77.466202
BT,Gelephu Airport,26.88456,90.46412
BW,Sir Seretse Khama International Airport,-24.555201,25.9182
BY,Minsk National Airport,53.888071,28.039964
BZ,Philip S. W. Goldson International Airport,17.539951,-88.303556
CA,(Duplicate)Toronto Lester B. Pearson International Airport,43.680585,-79.611841
CC,Cocos (Keeling) Islands Airport,-12.19134,96.833696
CD,Ndjili International Airport,-4.38575,15.4446
CF,Bangui M'Poko International Airport,4.39847993850708,18.518800735473636
CG,Maya-Maya Airport,-4.251699924468994,15.253000259399414
CH,Geneva Cointrin International Airport,46.238098,6.10895
CI,Felix-Houphouet-Boigny International Airport,5.26139,-3.92629
CK,Rarotonga International Airport,-21.2027,-159.806
CL,Comodoro Arturo Merino Benitez International Airport,-33.393001556396484,-70.78579711914062
CM,Tiko Airport,4.08919000626,9.3605298996
CN,Beijing Capital International Airport,40.0801010131836,116.58499908447266
CO,El Dorado International Airport,4.70159,-74.1469
CR,(Mislocated duplicate of MRLB) LIR,10.229845,-85.539551
CU,Jose Marti International Airport,22.989200592041016,-82.40910339355469
CV,Amilcar Cabral International Airport,16.7414,-22.9494
CW,Hato International Airport,12.1889,-68.959801
CX,Christmas Island Airport,-10.449382,105.690931
CY,Larnaca International Airport,34.875099,33.624901
CZ,Vaclav Havel Airport Prague,50.100874,14.259911
